Restaurant ID,Country Code,City,"Restaurant Name,Address",Locality,Locality Verbose,Longitude,Latitude,Cuisines,Restaurant_Name,Address,Locality_1,3,4,5,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating text,Votes,Country,Continent
75027,189,Pretoria,"Kream,570 Fehrsen Street, Brooklyn, Pretoria",Brooklyn,"Brooklyn, Pretoria",28.23604667,-25.77074833,African,Kream,570 Fehrsen Street, Brooklyn, Pretoria,,,450,Rand(R),No,No,4,4.7,Excellent,373,South Africa,Africa
18199767,189,Pretoria,"Carbon Bistro,279 Dey Street, Brooklyn, Pretoria",Brooklyn,"Brooklyn, Pretoria",28.230606,-25.772304,"Burger, Steak, Seafood",Carbon Bistro,279 Dey Street, Brooklyn, Pretoria,,,360,Rand(R),No,No,4,4.1,Very Good,84,South Africa,Africa
75031,189,Pretoria,"Geet Indian Restaurant,541 Fehrsen Street, Nieuw Muckleneuk, Brooklyn, Pretoria",Brooklyn,"Brooklyn, Pretoria",28.235482,-25.771335,Indian,Geet Indian Restaurant,541 Fehrsen Street, Nieuw Muckleneuk, Brooklyn, Pretoria,,320,Rand(R),No,No,4,4.4,Very Good,147,South Africa,Africa
75728,189,Pretoria,"Blos Cafe,66 Olympus street, Faerie Glen, Pretoria",Faerie Glen,"Faerie Glen, Pretoria",28.331763,-25.798167,"Cafe, Burger, Tapas, South African, European, Grill",Blos Cafe,66 Olympus street, Faerie Glen, Pretoria,,,390,Rand(R),No,No,4,3.9,Good,150,South Africa,Africa
18445944,189,Pretoria,"The Belgian Triple,Olympus Village, Corner Olympus Dr And Achilles Road, Faerie Glen, Pretoria",Faerie Glen,"Faerie Glen, Pretoria",28.33247088,-25.79850294,"Healthy Food, Seafood, Beverages, Belgian, Contemporary, Desserts, Finger Food, International",The Belgian Triple,Olympus Village, Corner Olympus Dr And Achilles Road, Faerie Glen, Pretoria,,500,Rand(R),No,No,4,4.2,Very Good,20,South Africa,Africa
18199742,189,Pretoria,"El Pistolero,Corner Duvernoy and Chopin Street, Garsfontein, Pretoria",Garsfontein,"Garsfontein, Pretoria",28.287114,-25.80283,Mexican,El Pistolero,Corner Duvernoy and Chopin Street, Garsfontein, Pretoria,,,300,Rand(R),No,No,4,4.3,Very Good,116,South Africa,Africa
18238595,189,Pretoria,"Brooklyn Brothers,Glenfair Boulevard, Corner Lynnwood & Daventry Road, Lynnwood Manor, Lynnwood, Pretoria","Glenfair Boulevard, Lynnwood  ","Glenfair Boulevard, Lynnwood  , Pretoria",28.280437,-25.765656,"Burger, American, Beverages",Brooklyn Brothers,Glenfair Boulevard, Corner Lynnwood & Daventry Road, Lynnwood Manor, Lynnwood, Pretoria,300,Rand(R),No,No,4,3.8,Good,57,South Africa,Africa
75609,189,Pretoria,"Capital Craft Beer Academy,Greenlyn Village, Shop 20, 13th Street, Menlo Park, Near, Lynnwood, Pretoria","Greenlyn Village, Menlopark, Near Lynnwood","Greenlyn Village, Menlopark, Near Lynnwood, Pretoria",28.25643333,-25.76973333,"Street Food, Burger, American, Finger Food, German",Capital Craft Beer Academy,Greenlyn Village, Shop 20, 13th Street, Menlo Park, Near,200,Rand(R),No,No,3,4.4,Very Good,301,South Africa,Africa
18318846,189,Pretoria,"Spice - The Indian Kitchen,Lynridge Mall, 1 Jacobson Drive, Lynnwood, Pretoria",Lynnwood,"Lynnwood, Pretoria",28.298357,-25.765752,"Indian, Asian, Durban, International, Desserts",Spice - The Indian Kitchen,Lynridge Mall, 1 Jacobson Drive, Lynnwood, Pretoria,,320,Rand(R),No,No,4,4.3,Very Good,43,South Africa,Africa
75380,189,Pretoria,"The Black Bamboo,Menlyn Boutique Hotel, 209 Tugela Road, Ashlea Gardens, Near Menlyn, Menlyn, Pretoria","Menlyn Boutique Hotel, Menlyn","Menlyn Boutique Hotel, Menlyn, Pretoria",28.270627,-25.780358,Continental,The Black Bamboo,Menlyn Boutique Hotel, 209 Tugela Road, Ashlea Gardens, Near Menlyn, Menlyn,600,Rand(R),No,No,4,4.4,Very Good,84,South Africa,Africa
18376948,189,Pretoria,"Old Town Italy,Shop 53, Menlyn Maine, Central Square, 180 Amarand Avenue, Waterkloof Glen, Pretoria","Menlyn Maine, Waterkloof Glen","Menlyn Maine, Waterkloof Glen, Pretoria",28.283896,-25.786067,"Cafe, Italian, Pizza, European, Bakery, Deli",Old Town Italy,Shop 53, Menlyn Maine, Central Square, 180 Amarand Avenue, Waterkloof Glen,400,Rand(R),No,No,4,3.9,Good,153,South Africa,Africa
75104,189,Pretoria,"Parrot's,Menlyn Shopping Centre, Corner of Atterbury Road & Lois Avenue, Menlyn, Pretoria","Menlyn Shopping Centre, Menlyn","Menlyn Shopping Centre, Menlyn, Pretoria",28.275316,-25.783539,"Contemporary, Sushi, Grill, Italian, Steak",Parrot's,Menlyn Shopping Centre, Corner of Atterbury Road & Lois Avenue, Menlyn, Pretoria,,200,Rand(R),No,No,3,3.4,Average,111,South Africa,Africa
75026,189,Pretoria,"Baobab Cafe & Grill,Menlyn Shopping Centre, Level 1, Corner of Atterbury Road & Lois Avenue, Menlyn, Pretoria","Menlyn Shopping Centre, Menlyn","Menlyn Shopping Centre, Menlyn, Pretoria",28.275005,-25.782735,"Cafe, Grill",Baobab Cafe & Grill,Menlyn Shopping Centre, Level 1, Corner of Atterbury Road & Lois Avenue, Menlyn, Pretoria,410,Rand(R),No,No,4,4,Very Good,235,South Africa,Africa
75576,189,Pretoria,"Harissa Bistro,The Club Centre, Corner of Pinaster Avenue & 18th Street, Hazelwood, Near Waterkloof, Pretoria","The Club Centre, Hazelwood, Near Waterkloof","The Club Centre, Hazelwood, Near Waterkloof, Pretoria",28.257131,-25.778387,"European, South African, Steak",Harissa Bistro,The Club Centre, Corner of Pinaster Avenue & 18th Street, Hazelwood, Near Waterkloof, Pretoria,450,Rand(R),No,No,4,4.5,Excellent,287,South Africa,Africa
75764,189,Pretoria,"Life Grand Cafe,The Club Centre, Corner of Pinaster Avenue & 18th Street, Hazelwood, Near, Waterkloof, Pretoria","The Club Centre, Hazelwood, Near Waterkloof","The Club Centre, Hazelwood, Near Waterkloof, Pretoria",28.256922,-25.777898,"Italian, Mediterranean, Sushi, Desserts",Life Grand Cafe,The Club Centre, Corner of Pinaster Avenue & 18th Street, Hazelwood, Near, Waterkloof,400,Rand(R),No,No,4,4.1,Very Good,232,South Africa,Africa
75132,189,Pretoria,"Crawdaddy's,Waterglen Shopping Centre, Corner of Garsfontein Road & January Masilela Drive, Waterkloof Glen, Pretoria","Waterglen Shopping Centre, Garsfontein","Waterglen Shopping Centre, Garsfontein, Pretoria",28.28159167,-25.79399333,"Continental, Seafood, Burger, South African, Finger Food, Grill",Crawdaddy's,Waterglen Shopping Centre, Corner of Garsfontein Road & January Masilela Drive, Waterkloof Glen, Pretoria,,250,Rand(R),No,No,3,4,Very Good,158,South Africa,Africa
18289339,189,Pretoria,"Culture Club - Bar De Tapas,15, 16th Street, Waterkloof, Pretoria 0081",Waterkloof,"Waterkloof, Pretoria",28.255682,-25.775823,"Cafe, Tapas, South African, Beverages, Healthy Food, Desserts, Spanish",Culture Club - Bar De Tapas,15, 16th Street, Waterkloof, Pretoria 0081,,285,Rand(R),No,No,3,4.5,Excellent,97,South Africa,Africa
75683,189,Pretoria,"23 On Hazelwood,23 Hazelwood Road, Menlo Park, Near, Waterkloof, Pretoria",Waterkloof,"Waterkloof, Pretoria",28.257074,-25.775722,"Street Food, Continental, Burger, Grill",23 On Hazelwood,23 Hazelwood Road, Menlo Park, Near, Waterkloof, Pretoria,250,Rand(R),No,No,3,3.9,Good,135,South Africa,Africa
18136493,189,Pretoria,"Hogshead,Corner Dely & Pinaster Roads, Hazelwood, Waterkloof, Pretoria",Waterkloof,"Waterkloof, Pretoria",28.25626243,-25.7779816,"Grill, Burger",Hogshead,Corner Dely & Pinaster Roads, Hazelwood, Waterkloof, Pretoria,,250,Rand(R),No,No,3,4.1,Very Good,258,South Africa,Africa
75989,189,Pretoria,"Restaurant Mosaic @ The Orient,The Orient Boutique Hotel, Crocodile River Valley, Elandsfontein, Near West Park, Pretoria",West Park,"West Park, Pretoria",27.999097,-25.761238,French,Restaurant Mosaic @ The Orient,The Orient Boutique Hotel, Crocodile River Valley, Elandsfontein, Near West Park, Pretoria,3210,Rand(R),No,No,4,4.9,Excellent,85,South Africa,Africa
6502134,189,Randburg,"The Whippet,Corner of 7th Street and 4th Avenue, Linden, Randburg 2195",Linden,"Linden, Randburg",27.991791,-26.14026,Cafe,The Whippet,Corner of 7th Street and 4th Avenue, Linden, Randburg 2195,,,200,Rand(R),No,No,3,4.3,Very Good,618,South Africa,Africa
18204217,189,Sandton,"Gemelli Cucina Bar,13 Posthouse Link Centre, Corner Main & Posthouse Street, Bryanston, Johannesburg Sandton, Bryanston, Sandton",Bryanston,"Bryanston, Sandton",28.02302878,-26.05198229,"Contemporary, Italian",Gemelli Cucina Bar,13 Posthouse Link Centre, Corner Main & Posthouse Street, Bryanston, Johannesburg Sandton, Bryanston,450,Rand(R),No,No,4,4.8,Excellent,542,South Africa,Africa
6502852,189,Sandton,"Social on Main,Shop 1, Posthouse Centre, Corner Main Road & Posthouse Street, Bryanston, Sandton 2021",Bryanston,"Bryanston, Sandton",28.023143,-26.052744,"Contemporary, Burger, European",Social on Main,Shop 1, Posthouse Centre, Corner Main Road & Posthouse Street, Bryanston, Sandton 2021,250,Rand(R),No,No,3,4,Very Good,504,South Africa,Africa
6515339,189,Sandton,"Cafe Del Sol Botanico,Bryanston Shopping Centre, Corner of William Nicol & Ballyclare Dr, Bryanston, Sandton, Bryanston, Johannesburg","Bryanston Shopping Centre, Bryanston","Bryanston Shopping Centre, Bryanston, Sandton",28.027725,-26.074876,"Italian, Pizza, Beverages, Desserts, Grill, Seafood",Cafe Del Sol Botanico,Bryanston Shopping Centre, Corner of William Nicol & Ballyclare Dr, Bryanston, Sandton, Bryanston,400,Rand(R),No,No,4,4.4,Very Good,499,South Africa,Africa
6502883,189,Sandton,"Perron,Illovo Junction, Corner Oxford Road and Corlett Drive, Illovo, Sandton",Illovo,"Illovo, Sandton",28.04833811,-26.13493464,Mexican,Perron,Illovo Junction, Corner Oxford Road and Corlett Drive, Illovo, Sandton,,250,Rand(R),No,No,3,4.2,Very Good,581,South Africa,Africa
6517568,189,Sandton,"Jamie's Italian,Shop 00513, Building 13, High Street, Melrose Arch, Sandton","Melrose Arch, Melrose ","Melrose Arch, Melrose , Sandton",28.068062,-26.13233,Italian,Jamie's Italian,Shop 00513, Building 13, High Street, Melrose Arch, Sandton,400,Rand(R),No,No,4,4.1,Very Good,251,South Africa,Africa
6516831,189,Sandton,"The Big Mouth,Nelson Mandela Square, Corner Maude & 5th Streets, Sandown, Sandton","Nelson Mandela Square, Sandown","Nelson Mandela Square, Sandown, Sandton",28.05466667,-26.1075,"Grill, Steak, Burger, Sushi, Tapas",The Big Mouth,Nelson Mandela Square, Corner Maude & 5th Streets, Sandown, Sandton,,400,Rand(R),No,No,4,4.3,Very Good,430,South Africa,Africa
6501141,189,Sandton,"Licorish Bistro,Nicolway Shopping Centre, William Nicol Drive, Bryanston, Sandton","Nicolway Shopping Centre, Bryanston","Nicolway Shopping Centre, Bryanston, Sandton",28.021,-26.05233333,"European, South African",Licorish Bistro,Nicolway Shopping Centre, William Nicol Drive, Bryanston, Sandton,,545,Rand(R),No,No,4,4.6,Excellent,892,South Africa,Africa
6516432,189,Sandton,"Salsa Mexican Grill,Pineslopes Shopping Centre, Corner of Witkoppen Drive & The Straight, Fourways, Sandton","Pineslopes Shopping Centre, Fourways","Pineslopes Shopping Centre, Fourways, Sandton",28.014375,-26.021111,Mexican,Salsa Mexican Grill,Pineslopes Shopping Centre, Corner of Witkoppen Drive & The Straight, Fourways, Sandton,,330,Rand(R),No,No,4,4.3,Very Good,488,South Africa,Africa
6517404,189,Sandton,"The Smokehouse and Grill,Pineslopes Shopping Centre, Corner of Witkoppen Drive & The Straight, Fourways, Sandton","Pineslopes Shopping Centre, Fourways","Pineslopes Shopping Centre, Fourways, Sandton",28.014749,-26.021362,Steak,The Smokehouse and Grill,Pineslopes Shopping Centre, Corner of Witkoppen Drive & The Straight, Fourways, Sandton,,300,Rand(R),No,No,4,4.4,Very Good,90,South Africa,Africa
6515135,189,Sandton,"Escondido Tapas,Post Office Centre, Corner of Rudd Road and Otto Street, Illovo, Sandton","Post Office Center, Illovo","Post Office Center, Illovo, Sandton",28.050845,-26.129002,Mediterranean,Escondido Tapas,Post Office Centre, Corner of Rudd Road and Otto Street, Illovo, Sandton,,450,Rand(R),No,No,4,4.4,Very Good,743,South Africa,Africa
6502857,189,Sandton,"Remo's Maximilliano,Waterfall Corner Mall, Corner of Maxwell & Woodmead Drives, Woodmead, Sandton","Waterfall Corner Mall, Midrand","Waterfall Corner Mall, Midrand, Sandton",28.089878,-26.02172,"Italian, Pizza",Remo's Maximilliano,Waterfall Corner Mall, Corner of Maxwell & Woodmead Drives, Woodmead, Sandton,,360,Rand(R),No,No,4,3.8,Good,390,South Africa,Africa
6317637,162,Makati City,"Le Petit Souffle,Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.027535,14.565443,"French, Japanese, Desserts",Le Petit Souffle,Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City,1100,Botswana Pula(P),Yes,No,3,4.8,Excellent,314,Phillipines,Asia
6304287,162,Makati City,"Izakaya Kikufuji,Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,14.553708,Japanese,Izakaya Kikufuji,Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City,,1200,Botswana Pula(P),Yes,No,3,4.5,Excellent,591,Phillipines,Asia
6300002,162,Mandaluyong City,"Heat - Edsa Shangri-La,Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.056831,14.581404,"Seafood, Asian, Filipino, Indian",Heat - Edsa Shangri-La,Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City,,4000,Botswana Pula(P),Yes,No,4,4.4,Very Good,270,Phillipines,Asia
6318506,162,Mandaluyong City,"Ooma,Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056475,14.585318,"Japanese, Sushi",Ooma,Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City,1500,Botswana Pula(P),No,No,4,4.9,Excellent,365,Phillipines,Asia
6314302,162,Mandaluyong City,"Sambo Kojin,Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.057508,14.58445,"Japanese, Korean",Sambo Kojin,Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City,1500,Botswana Pula(P),Yes,No,4,4.8,Excellent,229,Phillipines,Asia
18189371,162,Mandaluyong City,"Din Tai Fung,Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056314,14.583764,Chinese,Din Tai Fung,Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City,1000,Botswana Pula(P),No,No,3,4.4,Very Good,336,Phillipines,Asia
6300781,162,Pasay City,"Buffet 101,Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9796667,14.53133333,"Asian, European",Buffet 101,Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City,2000,Botswana Pula(P),Yes,No,4,4,Very Good,520,Phillipines,Asia
6301290,162,Pasay City,"Vikings,Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9793333,14.54,"Seafood, Filipino, Asian, European",Vikings,Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City,2000,Botswana Pula(P),Yes,No,4,4.2,Very Good,677,Phillipines,Asia
6300010,162,Pasay City,"Spiral - Sofitel Philippine Plaza Manila,Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98009,14.55299,"European, Asian, Indian",Spiral - Sofitel Philippine Plaza Manila,Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City,,6000,Botswana Pula(P),Yes,No,4,4.9,Excellent,621,Phillipines,Asia
6314987,162,Pasig City,"Locavore,Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.056532,14.572041,Filipino,Locavore,Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City,,1100,Botswana Pula(P),Yes,No,3,4.8,Excellent,532,Phillipines,
6309903,162,Pasig City,"Silantro Fil-Mex,75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.057916,14.567689,"Filipino, Mexican",Silantro Fil-Mex,75 East Capitol Drive, Kapitolyo, Pasig City,,,800,Botswana Pula(P),No,No,3,4.9,Excellent,1070,Phillipines,
6309455,162,Pasig City,"Mad Mark's Creamery & Good Eats,23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.06082,14.570849,"American, Ice Cream, Desserts",Mad Mark's Creamery & Good Eats,23 East Capitol Drive, Kapitolyo, Pasig City,,,900,Botswana Pula(P),Yes,No,3,4.2,Very Good,488,Phillipines,
6318433,162,Quezon City,"Silantro Fil-Mex,Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.075419,14.649503,"Filipino, Mexican",Silantro Fil-Mex,Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City,800,Botswana Pula(P),No,No,3,4.8,Excellent,294,Phillipines,Asia
