Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,CustomerCareCalls,ReceivedCalls,OutboundCalls,InboundCalls,MonthsInService,UniqueSubs,ActiveSubs,RetentionCalls,RetentionOffersAccepted,IncomeGroup,AdjustmentsToCreditRating,CreditRating,PrizmCode,Occupation
0,82.16,660,50,0,0,377.5,41,1.3,26,2,2,0,0,7,0,1,2,4
0,30,56,30,0,0.3,13.5,4,3.3,26,2,2,0,0,7,0,1,2,4
1,16.14,4,17,0,0,0.2,0,0,26,1,1,0,0,6,0,1,2,5
1,57.98,684,55,0,5,203.7,19.3,0.3,26,2,1,0,0,7,0,3,2,5
1,78.29,852,85,0,1,304.8,41,12,26,2,2,0,0,5,0,1,1,2
1,107.23,782,25,0,0.3,786.7,1.3,0,26,1,1,0,0,7,0,3,2,4
1,30.26,24,30,0,0.7,0.1,3.7,0,26,1,1,0,0,3,0,1,2,5
0,145.79,1293,68,0,3.3,208.1,41,6.3,26,2,2,0,0,7,0,1,2,4
1,50.56,100,50,0,0,7.8,1,0,26,1,1,0,0,0,0,3,1,4
1,51.24,404,50,0,2,73.8,19.7,0,26,1,1,0,0,6,0,1,3,5
0,20.18,1,20,0,0,0.3,0,0,26,1,1,0,0,7,0,1,1,4
1,36.84,36,45,0,0,1.2,1.7,0.3,26,2,2,0,0,7,0,1,2,5
0,37.99,71,38,0,0,2.4,1,0,26,1,1,0,0,7,0,1,4,4
0,91.17,333,75,0,0.3,33.2,9,4.7,26,2,2,0,0,6,0,3,2,4
0,29.73,65,30,0.99,0,7.8,1,0,26,2,1,0,0,6,0,3,2,5
1,149.99,2382,150,0,9.7,391.2,41,12,26,2,2,0,0,6,0,3,1,4
0,84.91,745,85,0.5,2.7,181.1,13.3,12,26,1,1,0,0,3,0,4,4,4
0,17.43,20,17,0,1,3.7,0,0,26,1,1,0,0,4,0,4,1,4
0,107.25,1671,75,0,0,633.4,41,12,26,1,1,0,0,0,0,4,2,4
0,163.54,1438,83,1.24,0.3,426.9,41,12,26,2,1,0,0,7,0,4,1,4
0,66.28,1230,60,1.24,9.7,258.3,41,12,26,1,1,0,0,7,0,1,4,4
0,21.12,18,19,0,0,8.5,1,0.3,26,1,1,0,0,7,0,1,2,5
1,136.42,560,71,0.5,0,246.1,36.3,12,26,2,2,0,0,0,0,4,4,4
0,76.74,1008,60,0.5,0,244.1,41,12,26,2,2,0,0,7,0,1,2,4
0,196.76,3479,85,1.24,0.7,1005.4,41,12,26,2,2,0,0,7,0,1,2,4
0,79.44,831,75,1.24,0,282.6,37.3,12,26,1,1,0,0,7,0,4,4,4
0,56.31,1010,60,0,0.7,151.1,17,12,26,1,1,0,0,1,0,3,2,2
0,79.59,828,75,0,0.3,176.5,36,12,26,1,1,0,0,2,0,1,2,5
0,35.3,148,45,0,0,38.5,7.3,3.3,26,1,1,0,0,6,0,4,2,4
0,75.73,493,85,0.74,0,1.8,1,0,26,1,1,0,0,7,0,1,1,4
0,49.99,820,60,0,6.7,139,17.7,1.7,26,1,1,0,0,7,0,1,1,5
0,23.5,34,15,0,0.3,0,15.7,0,26,1,1,0,0,6,0,1,2,4
0,29.99,148,30,0,0.7,7.2,6,0,26,1,1,0,0,1,0,4,4,4
0,103.28,1376,85,0.74,3,188.1,30,5.3,26,2,1,0,0,4,0,1,2,4
0,71.86,538,75,0.5,0,99.7,31.3,7,26,2,2,0,0,7,0,1,3,3
0,114.13,1650,83,1.24,0,362.5,41,12,26,2,2,0,0,4,0,1,4,1
1,90.25,952,50,0,0,464.2,8.3,7.3,26,1,1,0,0,0,0,4,4,4
1,53.79,1020,58,0.99,0,240.4,41,12,26,1,1,0,0,6,0,1,4,4
0,45.85,70,50,0,0,1.1,11.3,0.7,26,2,2,0,0,6,0,1,4,5
0,95.17,161,89,0,0,31.6,14,0,26,2,2,0,0,0,0,1,1,4
1,90.61,1151,95,0.25,1.3,476,19.3,12,26,2,2,0,0,0,0,1,4,4
0,226,2338,78,0,0,609.7,32,12,26,1,1,0,0,0,0,4,2,4
0,105.84,784,80,0.25,0,479.1,16.3,2.7,26,2,2,0,0,6,0,1,2,4
0,113.52,1807,85,1.24,0,658.3,37,12,26,2,1,0,0,7,0,1,2,4
1,51.46,368,45,1.24,0,81.9,26.3,1.7,26,1,1,0,0,6,0,1,4,5
0,35.58,291,45,0.5,0,76.3,5,2.3,26,1,1,0,0,5,0,3,2,4
0,114.54,1172,83,0.99,0.3,353.5,41,12,26,1,1,0,0,7,0,1,3,4
1,138.48,1580,77,1.24,0.3,650.5,41,12,26,1,1,0,0,0,0,1,4,4
1,159.52,2256,83,1.24,0,753.2,41,12,26,2,2,0,0,3,0,3,4,4
0,50.48,711,50,0.5,0,282.6,41,12,26,1,1,0,0,6,0,2,4,5
0,75,343,75,0,0,135,9,0.7,26,1,1,0,0,6,0,3,4,1
0,281.33,3808,183,1.24,0.7,1208.4,41,12,26,1,1,0,0,6,0,1,3,4
0,97.83,1670,83,1.24,0.7,477.4,41,12,26,2,1,0,0,7,0,3,4,5
0,55.51,516,50,0.25,0,79.8,20.3,1.7,26,1,1,0,0,6,0,1,2,4
0,70.19,797,60,0,0.3,300.9,22,3.3,26,1,1,0,0,5,0,4,4,1
1,30.86,181,30,0.5,6.3,22.6,41,7.3,26,1,1,0,0,4,0,4,2,4
0,104.75,1166,75,1.24,0,338.1,41,12,26,2,2,0,0,0,0,1,2,4
0,260.81,3210,213,1.24,4.7,824.9,41,12,26,2,1,0,0,5,0,3,4,4
1,36.39,66,30,0,0.7,0,0.7,0,26,1,1,0,0,7,0,1,4,4
0,50,154,50,0,0,24,18,8.7,26,1,1,0,0,7,0,3,2,5
1,106.33,2206,85,1.24,11.3,901.7,41,12,26,1,1,0,0,1,0,3,4,4
0,122,1806,75,1.24,2,409.9,41,12,26,2,1,0,0,0,0,4,2,4
0,34.99,44,45,0,0.7,6.8,1.7,3,26,1,1,0,0,0,0,3,3,4
0,120.38,1730,87,1.24,4,438.6,41,12,26,1,1,0,0,3,0,4,4,4
1,27.25,0,27,0,0,0,0,0,26,1,1,0,0,7,0,1,1,4
0,96.04,545,60,0.66,0,38.2,12,1.3,26,2,1,0,0,0,0,1,1,4
1,83.83,790,75,1.24,1,197,41,4.3,26,1,1,0,0,7,0,1,2,5
0,30.32,219,30,0,2.7,12.6,6,0,26,2,2,0,0,6,0,1,4,4
1,30,18,30,0,0,3.8,0,0,26,1,1,0,0,7,0,3,2,4
0,108.72,1228,108,0.74,0.3,480.2,41,12,26,1,1,0,0,4,0,1,4,4
0,32.27,112,32,0,0,17.1,6,0,26,1,1,0,0,4,0,1,4,4
0,43.72,245,30,0,0,72.2,27.3,10.3,26,1,1,0,0,3,0,1,4,4
0,65.94,572,59,0,0.3,293.5,1.3,3.7,26,1,1,0,0,0,0,3,4,4
0,32.5,295,30,0,3,20.8,26.7,1.3,26,1,1,0,0,4,0,1,4,4
0,79.39,848,70,0,0,0,0,0,26,2,2,0,0,6,0,3,4,4
1,90.9,1710,75,0.25,2,591.8,38.7,12,26,2,2,0,0,5,0,3,3,4
0,103.16,866,38,0,0,35.8,23.7,2.3,26,1,1,0,0,5,0,3,2,5
1,164.14,1410,75,1.24,0,201.7,41,5.3,26,1,1,0,0,7,0,3,4,5
1,117.12,490,70,0,1,103.5,26.7,12,26,2,2,0,0,2,0,4,2,4
1,8.07,34,5,0,0,7.4,0,0,26,1,1,0,0,5,0,1,4,4
0,41.29,71,40,0,0,17.8,1.3,0,26,1,1,0,0,6,0,1,3,5
1,41.09,340,35,1.24,1.3,80.8,11,0,26,1,1,0,0,4,0,3,2,4
0,46.94,287,30,0.99,3.3,48.4,17.3,1.3,26,1,1,0,0,0,0,4,4,4
1,13.25,0,10,0,0,0,0,0,26,2,2,0,0,7,0,1,4,4
1,44.96,3584,59,0.25,1.3,732.6,41,12,26,2,1,0,0,4,0,1,3,5
1,28.73,50,30,0,0,8.8,3,0.3,26,1,1,0,0,7,0,1,2,5
0,50.31,485,50,1.24,1.7,144.8,25,6,26,1,1,0,0,4,0,4,2,5
0,50.53,194,20,0.74,0,25.7,14,5.3,26,2,2,0,0,7,0,1,2,5
1,23.5,18,5,0,0,0,0,0,26,1,1,0,0,5,0,1,2,5
1,77.04,501,45,0,1.7,77.9,12.3,0,26,1,1,0,0,7,0,4,2,5
0,166.82,3206,83,1.24,0,1513.6,41,12,26,2,2,0,0,5,0,1,2,3
0,111.61,1161,105,0,0,402.6,35.7,5.7,26,1,1,0,0,5,0,1,4,4
1,111.7,143,107,1.24,0,8.3,41,4.7,26,2,2,0,0,0,0,2,3,4
0,81.6,149,74,0,0,33.1,4.7,10.7,26,2,0,0,0,0,0,1,4,4
1,85.58,890,75,0.99,0,136.3,41,12,26,2,2,0,0,5,0,1,2,4
1,51.14,438,50,0,0.3,39.3,7.3,1.3,26,1,1,0,0,7,0,2,2,4
1,56.48,355,55,0.99,0,205.8,2,1.7,26,1,1,0,0,6,0,3,4,2
0,87.52,699,80,0,1.3,272.1,41,12,26,1,1,0,0,3,0,4,4,4
0,103.5,479,75,0.74,0,125.3,37,12,26,2,2,0,0,7,0,3,4,4
1,124.52,594,102,0,2,91.2,10.7,1,26,1,1,0,0,6,0,4,2,4
0,134.3,731,140,0.74,0,373.4,37.7,10.3,26,2,2,0,0,6,0,3,4,4
0,75,2,75,0,0,0,2,0,26,2,2,0,0,7,0,1,2,4
0,34.4,399,32,1.24,0,79.6,15,0.7,26,2,2,0,0,7,0,1,1,5
0,53.69,144,50,0,0.3,40.5,7.7,0.3,26,2,1,0,0,5,0,1,2,4
1,135.15,2489,85,0.25,0.3,831.4,41,12,26,2,2,0,0,2,0,1,3,4
0,94.99,1204,85,0,0.3,440.5,39.3,12,26,2,2,0,0,0,0,2,4,4
0,83.64,838,85,1.24,0,88.7,41,8,26,2,2,0,0,7,0,1,2,4
1,104.45,1250,75,1.24,0,399,4.7,0.7,26,2,1,0,0,7,0,1,1,4
1,79.88,1086,75,0,0.3,470.7,41,12,26,2,2,0,0,7,0,1,1,5
0,96.45,1027,50,1.24,0,541.8,24,6.3,26,1,1,0,0,7,0,1,2,5
0,77.81,503,63,1.24,0.7,59,16.3,2,26,2,1,0,0,0,0,1,2,4
0,50.58,432,50,0,0,30,12.7,1.3,26,2,1,0,0,7,0,2,2,5
1,63.3,415,45,1.24,0,105.9,10,0,26,2,1,0,0,7,0,3,2,4
0,121,1333,75,0,3.3,403.6,41,12,26,2,2,0,0,6,0,3,3,4
1,125.23,1104,60,0.25,6,265,28.3,10,26,1,1,0,0,2,0,1,2,4
1,316.47,3148,75,1.24,5.3,789.3,41,12,26,2,2,0,0,6,0,1,4,4
1,112.56,1107,83,1.24,0,294.4,41,12,26,1,1,0,0,0,0,4,4,4
0,20.12,12,20,0,0,3,0.3,0,26,1,1,0,0,6,0,1,1,5
0,49.99,772,60,0,0,358.4,8.3,1,26,1,1,0,0,4,0,4,3,4
0,83.5,1130,75,0,2,430.4,41,12,26,1,1,0,0,0,0,1,1,4
1,29.99,46,30,0,3.7,1.4,0,0,26,1,1,0,0,6,0,1,2,1
0,53.69,478,60,0,0,87.2,40.3,12,26,2,2,0,0,7,0,1,1,4
0,76.47,1262,75,0,1,366.5,41,12,26,1,1,0,0,6,0,3,1,1
1,10,0,10,0,0,0,0,0,26,1,1,0,0,3,0,1,4,4
0,161.88,2746,75,1.24,0,1365.3,27.3,12,26,1,1,0,0,5,0,2,2,4
0,92.3,1622,75,0,0.3,567,41,12,26,1,1,0,0,6,0,1,4,1
0,98.82,1684,75,0.74,0,754.1,41,12,26,1,1,0,0,3,0,1,2,4
0,35.3,307,35,0,0,0,0.3,0,26,1,1,0,0,6,0,1,3,4
0,105.37,1206,75,1.24,0,28.7,41,3.7,26,1,1,0,0,6,0,4,2,1
1,47.5,430,50,0,0,130.5,13.7,0,26,1,1,0,0,7,0,1,1,5
0,105.73,1611,93,1.24,4.7,613.7,41,12,26,2,2,0,0,7,0,1,4,5
0,51.62,409,50,0,3,59.2,20.7,3.3,26,1,1,0,0,7,0,1,4,4
0,529.63,5863,202,1.24,5.3,1666.6,41,12,26,1,1,0,0,2,0,1,4,4
0,76.84,1461,75,0,1.3,378.3,41,12,26,1,1,0,0,3,0,1,4,4
0,80.97,1270,87,0.74,2,572.8,37.3,3.3,26,1,1,0,0,7,0,1,4,4
0,99.42,1239,85,1.24,0.3,498.1,41,12,26,2,1,0,0,7,0,3,4,2
0,104.98,1122,87,1.24,2,243.9,41,12,26,2,2,0,0,6,0,1,3,4
1,35.34,78,20,0,0,17.5,0,2,26,1,1,0,0,7,0,1,2,4
0,32.02,362,32,0.25,0.3,80.2,30.7,2.3,26,2,2,0,0,7,0,1,2,5
0,74.09,457,80,0,1,67.5,10.7,6.7,26,2,2,0,0,7,0,1,2,4
0,77.65,1051,50,0.25,0,589.8,26,0.3,26,1,1,0,0,5,0,3,4,5
1,23.24,5,20,0,2,0,2,0,26,1,1,0,0,2,0,1,4,4
1,77.23,866,75,1.24,1.7,218,16.7,5.3,26,1,1,0,0,4,0,3,3,4
0,111.39,767,75,1.24,0.3,154.6,35.3,0,26,1,1,0,0,5,0,1,4,4
0,78.25,130,75,0,0,55,4.3,0.3,26,1,1,0,0,0,0,4,1,4
1,63.48,439,30,1.24,1.3,115.6,11,0.7,26,1,1,0,0,6,0,4,4,4
1,38.17,214,30,0,0,6,4.7,0,26,1,1,0,0,1,0,3,1,4
0,79.19,1149,85,0,4.7,341,41,12,26,1,1,0,0,6,0,4,4,4
0,90.92,1560,75,0.74,0,332.5,41,12,26,2,2,0,0,7,0,1,4,5
0,145.15,1134,150,1.24,0,241,41,12,26,2,2,0,0,7,0,1,2,4
0,51.72,764,70,0,3.7,256.4,37.3,6.7,26,1,1,0,0,3,0,4,4,4
0,87.62,1066,75,0.25,0,341.3,27,2.7,26,1,1,0,0,3,0,1,2,4
0,129.43,1388,95,1.24,0.7,154.1,41,12,26,2,2,0,0,6,0,1,4,4
0,67.14,698,49,0,3,307.8,6.3,12,26,1,1,0,0,0,0,3,1,4
1,64.98,311,70,1.24,0.7,93.5,34.3,6.3,26,2,2,0,0,7,0,1,2,4
0,99.04,1112,60,0,4.7,506.5,37.3,12,26,2,2,0,0,4,0,3,2,4
1,10,6,10,0,0,0,0,0,26,1,1,0,0,6,0,1,4,4
0,68.31,378,60,0,1.3,77.6,24,6.3,26,1,1,0,0,1,0,4,1,4
0,49.2,173,48,0.5,0.3,39.4,5,0,26,1,1,0,0,0,0,3,4,4
0,74.37,585,81,0.99,0.3,181,18.7,5.3,26,1,1,0,0,7,0,3,2,4
0,20,16,20,0,0.7,0.2,0.3,0,26,1,1,0,0,6,0,1,4,2
0,83.67,1141,75,0.5,0,449.9,14.3,1,26,2,1,0,0,7,0,3,2,4
0,96.3,1028,85,0.25,1.3,282,41,5.7,26,1,1,0,0,0,0,3,4,4
0,95,1592,75,1.24,3.7,275,41,5.3,26,1,1,0,0,4,0,4,4,4
0,112.06,2311,80,1.24,7.7,359.4,41,12,26,1,1,0,0,6,0,3,2,4
1,86.3,414,75,1.24,0,118.9,24.7,0.7,26,1,1,0,0,5,0,4,2,5
0,65.9,889,57,0.5,0,217.7,41,0.7,26,2,1,0,0,6,0,3,4,5
1,38.53,162,38,0,0,27.8,14.3,2.7,26,1,1,0,0,7,0,1,1,5
0,79.88,1130,75,0,0,620.7,26,12,26,1,1,0,0,7,0,1,2,4
1,50.98,256,50,0.99,0,38.8,15,0.3,26,1,1,0,0,7,0,1,2,4
0,51.9,202,24,0.5,0,103.6,9.3,0,26,1,1,0,0,5,0,1,2,4
0,134.57,2058,75,0.25,0,772.1,41,12,26,2,1,0,0,7,0,1,4,5
0,77.26,428,35,0.25,0,23.7,20,0,26,1,1,0,0,4,0,1,2,5
1,74.21,651,75,1.24,0,103.9,41,12,26,2,2,0,0,0,0,1,4,4
1,28.68,73,20,0,0,1.4,4,0,26,1,1,0,0,5,0,1,1,2
0,38.93,147,30,0.5,0.3,45.7,1.3,0,26,1,1,0,0,7,0,1,1,5
0,20.88,3,21,0,0,0.7,0,0,26,1,1,0,0,4,0,4,4,4
0,93.7,1509,75,0,0.7,504.5,22.7,0.7,26,1,1,0,0,4,0,1,3,5
1,124.74,411,75,1.24,1,86.8,24,6.3,26,2,2,0,0,0,0,1,2,4
1,96.33,1852,75,0.74,0,480.4,39,3.7,26,1,1,0,0,7,0,1,1,4
0,48.98,482,45,0.5,0,110.6,12.7,2,26,1,1,0,0,7,0,4,4,4
0,187.35,1363,75,1.24,1.3,262.3,41,11.3,26,1,1,0,0,0,0,4,2,4
1,48.89,45,47,0,0,0.2,0.3,0,26,1,1,0,0,7,0,1,2,4
1,5,0,5,0,0,0,0,0,26,1,1,0,0,1,0,1,2,4
0,98.24,930,105,0,1,359.5,41,4,26,2,2,0,0,5,0,1,4,5
0,110.7,2185,81,0.99,6,500.7,41,12,26,2,2,0,0,7,0,1,2,5
0,45.4,289,45,0,0,92.6,21.3,12,26,2,2,0,0,7,0,1,4,5
0,37.56,430,37,0,0.7,14.6,5,0,26,1,1,0,0,7,0,1,2,5
0,87.71,1730,75,0.25,0.3,708.3,41,12,26,1,1,0,0,6,0,3,2,4
0,106.08,752,60,0.99,0,175.9,28.3,9,26,1,1,0,0,4,0,1,4,4
1,25.21,0,25,0,0,0,0,0,26,1,1,0,0,7,0,1,4,4
0,76.12,577,85,0.74,0,126.1,16.7,8.3,26,1,1,0,0,7,0,1,2,4
1,74.22,750,22,0.25,0.7,128.4,24.3,12,26,1,1,0,0,4,0,4,2,4
0,92.59,608,50,1.24,0,84.8,15.3,1,26,1,1,0,0,7,0,4,2,4
0,83.58,879,97,0,0,295.1,34,12,26,2,2,0,0,6,0,1,1,5
1,74.95,692,71,1.24,0.7,97.2,17,0.7,26,2,1,0,0,6,0,3,2,4
0,167.1,1790,160,1.24,0,186.4,41,0.7,26,2,1,0,0,0,0,1,4,4
0,30.26,188,30,0,0,12.5,15,1,26,2,2,0,0,7,0,1,2,4
1,30.48,47,30,0.5,0.7,6,3.7,0.3,26,2,2,0,0,0,0,4,4,4
0,99.61,1514,80,0.25,0,540.9,41,12,26,2,2,0,0,7,0,1,2,5
1,25.04,44,20,0,0,3.4,3.3,0,26,1,1,0,0,6,0,1,2,4
0,75.67,938,95,0,0,245.2,41,5.7,26,2,2,0,0,6,0,1,2,4
1,55.98,403,50,0,0,221.6,21,1,26,2,1,0,0,7,0,1,2,4
1,7.5,3,10,0,0,0,0,0,26,1,1,0,0,6,0,1,1,4
1,191.66,1764,110,1.24,0,0,0,0,26,2,2,0,0,7,0,1,2,5
0,37.35,114,32,0.74,0,7.1,7,1.3,26,2,2,0,0,7,0,1,4,4
1,64.8,479,50,0,1,107.3,14.7,4,26,1,1,0,0,3,0,1,2,5
1,17.14,3,17,0,0,0,0,0,26,1,1,0,0,7,0,1,2,4
0,124.06,2955,82,0,0,1084.4,41,12,26,2,2,0,0,0,0,1,2,4
0,80.28,1245,68,1.24,0,0,0,0,26,2,1,0,0,6,0,3,4,5
0,100.05,820,85,1.24,0,273.4,22.7,0,26,1,1,0,0,7,0,1,4,5
0,99.58,1058,75,0,0,324.1,41,0,26,1,1,0,0,0,0,1,4,4
0,61.02,134,70,0.5,0,8,5.3,1.3,26,2,2,0,0,0,0,1,4,4
0,147.46,3280,80,0,4.3,1034.1,41,12,26,1,1,0,0,0,0,1,4,4
0,38.88,227,45,1.24,0,64.8,11.3,0,26,1,1,0,0,7,0,1,1,5
1,70.71,369,50,1.24,0.3,56.8,21.3,10,26,2,2,0,0,0,0,1,4,4
1,43.83,409,42,0.5,0,95.9,40,12,26,2,2,0,0,7,0,1,2,4
0,74.52,817,36,1.24,5.3,156.2,38.3,3,26,2,1,0,0,7,0,3,3,5
1,45.43,542,35,0,0,100.2,10.7,0.3,26,1,1,0,0,3,0,4,2,4
0,203.97,2845,75,1.24,0.7,616.9,41,12,26,2,2,0,0,4,0,1,4,4
0,97.54,482,115,0,0,66.4,41,12,26,2,1,0,0,0,0,4,2,4
0,88.24,631,95,0,0,143.4,41,0,26,2,2,0,0,7,0,1,2,5
0,103.21,1526,76,1.24,0.3,331.3,41,12,26,2,2,0,0,5,0,1,2,4
1,61.62,674,55,1.24,0,126.6,14.3,0,26,1,1,0,0,6,0,1,2,4
0,58.12,410,50,1.24,0,88.6,17.3,8,26,1,1,0,0,7,0,1,2,4
1,87.07,196,7,0.74,0,33.7,4.7,0,26,2,1,0,0,5,0,1,2,4
0,30.32,51,30,0.25,0,10.7,1.3,0.3,26,1,1,0,0,7,0,1,2,4
1,77.5,655,85,1.24,0,166.4,36.3,12,26,2,2,0,0,7,0,1,1,5
0,51.45,509,60,0.99,0,26,25,3.3,26,1,1,0,0,7,0,1,4,5
0,93.58,1804,75,1.24,0,600.8,41,1.3,26,1,1,0,0,6,0,4,2,4
1,63.3,381,50,1.24,0,109,34,12,26,2,2,0,0,5,0,1,4,4
0,84.88,781,80,1.24,0,175.7,9.7,6.7,26,1,1,0,0,0,0,3,4,4
1,72.65,493,50,1.24,0.7,144.8,41,12,26,1,1,0,0,3,0,1,2,5
1,42.2,64,52,0,0,19.7,3.7,6.3,26,2,1,0,0,7,0,1,4,1
0,40.52,835,50,0,20,438.9,1.3,1.3,26,1,1,0,0,6,0,1,2,5
0,117.6,1410,81,0,1,219.3,41,7.3,26,1,1,0,0,7,0,1,2,5
0,332.74,2935,200,0.99,0,762.5,41,12,26,2,2,0,0,0,0,1,2,4
0,56.38,604,50,1.24,0.7,150.2,41,3,26,1,1,0,0,6,0,1,4,4
0,88.24,454,85,0,0,92,18,12,26,2,2,0,0,4,0,3,3,4
0,50,306,50,0,0.3,64.7,18.3,8.7,26,2,2,0,0,7,0,4,2,5
0,75.92,805,75,0.25,0,274.3,21.3,12,26,1,1,0,0,5,0,1,4,4
0,93.2,1032,75,1.24,2,340.8,41,12,26,2,2,0,0,5,0,1,2,1
0,79.42,832,75,0,0,243.6,1.7,0,26,2,1,0,0,3,0,1,2,5
1,129.78,928,100,1.24,0,163.2,41,12,26,1,1,0,0,0,0,4,4,4
0,34.31,308,30,0.25,1,177.3,34.7,11.7,26,2,1,0,0,7,0,3,4,4
0,84.36,1269,75,1.24,0,586.4,41,12,26,2,2,0,0,7,0,1,4,4
0,108.67,1314,75,1.24,0,324.4,41,0,26,1,1,0,0,6,0,1,2,5
0,113.37,1859,75,0.5,0,486.3,41,12,26,2,2,0,0,6,0,1,2,4
0,131.12,2982,80,0.5,3,1147,41,12,26,2,2,0,0,0,0,1,2,4
1,48.39,49,60,0,0,0.1,3.3,0.3,26,2,2,0,0,7,0,1,1,4
0,58.98,785,58,0,0,276.1,22,12,26,1,1,0,0,2,0,1,4,1
0,142.77,1128,60,0,0,234.6,15.3,0,26,1,1,0,0,6,0,1,4,5
0,30.27,204,30,0,0,11.3,8.7,5.7,26,2,2,0,0,0,0,1,2,4
0,71.01,712,60,0.25,0,210.8,27,9.3,26,2,1,0,0,6,0,3,4,4
0,78.22,1273,75,0.25,1,442.6,41,12,26,2,2,0,0,6,0,3,3,5
0,57.01,384,50,0,0,88.3,5.7,0.7,26,1,1,0,0,7,0,3,4,4
0,63.73,974,45,1.24,0,225.9,41,12,26,2,2,0,0,6,0,3,2,4
0,49.99,514,60,0,0,52.7,23.7,0.3,26,1,1,0,0,7,0,1,2,4
0,48.33,7,48,0,0.3,0.5,1.7,0,26,1,1,0,0,6,0,1,1,4
0,83.47,827,80,0,0,262.4,9,1.7,26,1,1,0,0,3,0,3,4,4
1,50,0,50,0,0,0,0,0,26,1,1,0,0,7,0,1,1,4
1,84.16,1038,50,1.24,0,376.2,41,12,26,2,2,0,0,0,0,1,4,4
0,84.66,1643,80,1.24,1.3,628.9,41,12,26,2,1,0,0,0,0,1,2,4
0,75.09,778,95,0,0,233.1,34.7,6.3,26,2,2,0,0,5,0,1,1,5
0,50.32,675,50,0,9.7,96.8,18,12,26,2,2,0,0,2,0,2,4,5
0,100.83,2487,80,1.24,2.7,725.6,41,12,26,1,1,0,0,0,0,4,4,4
1,95.3,894,52,1.24,1,119.5,41,12,26,2,2,0,0,0,0,3,4,4
0,104.29,1005,105,0.99,0,185.1,19,1,26,1,1,0,0,0,0,1,4,4
0,95.27,815,95,1.24,1,183.1,16.3,12,26,2,2,0,0,5,0,1,4,4
0,79.84,596,75,1.24,0,121.8,33,5,26,1,1,0,0,7,0,1,2,4
1,55.34,144,55,1.24,0.7,44.5,12.3,0.7,26,2,2,0,0,7,0,1,4,4
0,349.73,3252,207,1.24,0,339.5,41,6.3,26,2,2,0,0,7,0,1,4,4
0,93.06,2008,80,0.25,0.3,572.2,41,12,26,2,2,0,0,6,0,1,2,4
0,300.22,4830,80,1.24,0,1382.2,41,12,26,2,2,0,0,6,0,1,2,4
0,163.38,1054,31,1.24,0,236.1,41,3.3,26,2,1,0,0,5,0,1,4,1
0,39.99,214,40,0,0,12.5,2.7,0.7,26,1,1,0,0,5,0,1,2,5
1,33.85,323,25,1.24,1.7,59.3,13.3,2,26,1,1,0,0,5,0,3,4,4
